Kod,Razem,0 – 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 lat i więcej
F09            ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
F10.1          ,99,-,-,-,-,-,-,3,7,10,10,15,10,23,10,7,3,1,-,-,-
F10.2          ,3124,-,-,-,-,2,29,79,167,228,317,369,526,575,562,178,60,24,5,3,-
F10.3          ,21,-,-,-,-,-,1,1,1,-,3,3,4,3,3,1,-,1,-,-,-
F10.4          ,66,-,-,-,-,-,3,4,6,7,5,5,7,12,12,5,-,-,-,-,-
F10.5          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
F10.6          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
F10.7          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
F10.8          ,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-
F10.9          ,9,-,-,-,-,-,-,-,1,1,1,1,2,1,2,-,-,-,-,-,-
F11.2          ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
F11.9          ,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
F12.2          ,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
F13.2          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
F13.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
F16.0          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
F17.0          ,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-
F17.2          ,11,-,-,-,-,-,-,-,-,1,1,-,-,3,2,2,2,-,-,-,-
F17.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
F19.2          ,2,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
F20.0          ,5,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,-,1,-,-,-
F20.5          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
F20.9          ,12,-,-,-,-,-,-,-,-,1,-,-,2,1,1,5,2,-,-,-,-
F22.9          ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
F23.9          ,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-
F31.9          ,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
F32.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
F32.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
F33.9          ,3,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-
F50.0          ,12,-,-,-,1,2,2,1,2,-,1,-,2,1,-,-,-,-,-,-,-
F50.1          ,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
F50.8          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
F55            ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
F72.9          ,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
F73.9          ,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
G00.1          ,22,2,-,-,-,-,1,-,-,4,3,2,1,3,3,1,-,1,1,-,-
G00.2          ,8,-,-,-,-,-,1,-,-,1,1,-,1,-,3,1,-,-,-,-,-
G00.3          ,11,-,-,-,-,1,-,-,-,-,-,-,1,3,3,-,2,-,1,-,-
G00.8          ,14,1,-,-,-,1,-,1,-,-,-,-,3,1,2,4,-,-,1,-,-
G00.9          ,54,2,-,-,-,-,1,1,4,3,2,6,1,8,10,6,4,4,2,-,-
G03.0          ,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-
G03.8          ,11,-,1,-,-,-,-,-,-,-,-,1,1,3,1,1,1,2,-,-,-
G03.9          ,46,-,-,-,1,-,-,-,1,2,4,2,4,6,8,8,6,2,2,-,-
G04.2          ,13,1,-,-,-,-,-,-,1,-,1,-,1,4,1,-,2,-,2,-,-
G04.8          ,16,-,-,1,-,-,-,-,1,-,1,-,-,8,2,-,3,-,-,-,-
G04.9          ,48,2,2,-,1,1,3,-,1,-,1,2,3,7,8,7,5,2,2,1,-
G06.0          ,13,-,-,-,-,-,1,-,-,1,1,-,1,1,4,2,1,-,1,-,-
G06.1          ,17,-,-,-,-,-,-,-,-,-,-,2,2,3,1,3,1,4,1,-,-
G06.2          ,4,-,-,-,-,-,-,-,-,1,1,1,-,1,-,-,-,-,-,-,-
G09            ,19,-,-,-,-,-,-,1,2,2,1,1,1,2,3,3,1,1,1,-,-
G10            ,85,-,-,-,-,-,1,4,8,4,14,5,7,14,15,7,3,3,-,-,-
G11.1          ,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
G11.2          ,6,-,-,-,-,-,-,-,-,1,-,-,2,1,1,-,1,-,-,-,-
G12.1          ,7,-,-,-,-,1,-,1,1,-,1,-,-,1,1,1,-,-,-,-,-
G12.2          ,529,-,-,-,1,-,3,2,5,10,15,22,42,91,121,94,67,45,9,2,-
G12.8          ,7,2,1,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,1,-,-
G12.9          ,28,-,1,1,-,1,1,-,-,1,1,1,-,8,6,3,2,-,1,-,1
G20            ,1247,-,-,-,-,-,-,-,1,-,2,3,10,48,85,150,227,330,264,106,21
G21.0          ,6,-,-,-,-,-,-,1,-,-,1,1,-,1,1,-,1,-,-,-,-
G21.8          ,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,3,-,-
G21.9          ,26,-,-,-,-,-,-,-,-,-,-,-,-,1,7,5,3,7,3,-,-
G23.0          ,6,-,-,-,-,-,2,-,1,1,-,-,-,1,-,1,-,-,-,-,-
G23.1          ,13,-,-,-,-,-,-,-,-,-,-,-,-,2,4,2,5,-,-,-,-
G23.8          ,14,-,-,-,-,-,-,-,-,-,-,-,1,1,5,4,3,-,-,-,-
G25.5          ,5,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,1,1,-,-
G25.9          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-
G30.0          ,42,-,-,-,-,-,-,-,-,-,-,-,1,6,11,9,5,4,3,3,-
G30.1          ,88,-,-,-,-,-,-,-,-,-,-,-,-,-,4,7,15,29,19,14,-
G30.8          ,333,-,-,-,-,-,-,-,-,-,-,1,-,9,12,31,52,81,90,45,12
G30.9          ,1958,-,-,-,-,-,-,-,-,-,-,-,7,30,74,188,325,538,511,248,37
G31.0          ,14,-,-,-,-,-,-,-,-,-,1,-,2,1,2,4,1,2,1,-,-
G31.1          ,41,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,9,13,9,4
G31.2          ,8,-,-,-,-,-,-,-,-,-,1,1,-,1,3,1,1,-,-,-,-
G31.8          ,7,3,-,-,-,-,-,-,2,-,1,-,-,-,-,1,-,-,-,-,-
G31.9          ,34,-,-,-,-,-,1,-,-,1,1,2,2,6,8,5,-,4,3,-,1
G35            ,440,-,-,-,-,-,-,2,5,5,22,38,81,92,80,50,33,21,10,1,-
G36.0          ,6,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,2,-,-,-,-
G36.9          ,2,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-
G37.0          ,4,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,-,-
G37.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
G37.2          ,5,-,-,-,-,-,-,-,1,1,-,1,1,-,1,-,-,-,-,-,-
G37.8          ,8,-,-,-,-,-,-,-,-,-,1,-,2,1,1,3,-,-,-,-,-
G37.9          ,5,-,-,-,-,-,-,-,1,-,-,-,2,1,-,-,1,-,-,-,-
G40.0          ,6,-,-,-,-,-,-,-,1,-,1,-,-,2,1,-,-,1,-,-,-
G40.1          ,4,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,1,-,-,-
G40.2          ,16,-,-,1,-,-,-,-,-,-,1,-,1,2,5,1,2,-,-,2,1
G40.3          ,5,-,-,-,-,-,-,-,2,-,-,1,-,-,1,-,1,-,-,-,-
G40.4          ,19,2,-,-,-,1,1,-,2,1,2,2,-,1,4,1,1,-,1,-,-
G40.5          ,71,-,-,-,-,-,-,4,8,10,9,7,15,6,8,2,-,1,-,1,-
G40.6          ,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
G40.8          ,63,-,1,2,1,1,-,1,6,6,4,10,3,5,9,3,2,4,5,-,-
G40.9          ,572,4,5,4,4,6,13,27,31,40,51,52,73,83,53,36,29,23,26,11,1
G41.0          ,15,-,-,-,1,-,-,-,1,-,-,2,2,1,1,1,-,-,6,-,-
G41.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
G41.2          ,9,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,3,1,1,-
G41.8          ,18,-,-,-,-,-,-,-,1,1,-,1,-,2,5,1,-,3,3,-,1
G41.9          ,123,-,1,1,-,3,-,2,6,5,8,7,9,14,15,10,13,16,7,4,2
G45.0          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
G45.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
G47.3          ,7,-,-,-,-,-,-,-,-,-,1,1,2,1,1,-,1,-,-,-,-
G60.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
G60.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
G60.9          ,3,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-
G61.0          ,33,-,-,-,-,-,-,-,-,-,-,1,3,3,8,7,5,5,1,-,-
G61.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
G61.9          ,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
G62.1          ,5,-,-,-,-,-,-,-,-,-,1,-,1,3,-,-,-,-,-,-,-
G62.2          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
G62.8          ,10,-,-,-,-,-,-,-,1,-,-,-,-,2,1,4,-,2,-,-,-
G62.9          ,14,-,-,-,-,-,-,-,-,-,1,-,-,-,4,5,3,1,-,-,-
G70.0          ,66,-,-,-,-,-,-,-,-,-,1,-,2,3,8,8,13,12,17,2,-
G70.8          ,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
G70.9          ,14,1,-,-,-,1,-,-,-,-,1,-,2,-,-,1,2,3,3,-,-
G71.0          ,43,-,-,-,5,8,9,6,2,1,2,3,1,-,2,3,1,-,-,-,-
G71.1          ,3,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
G71.2          ,5,-,-,-,-,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
G71.3          ,3,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
G71.8          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
G71.9          ,4,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
G72.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
G72.1          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
G72.4          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-
G72.8          ,3,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-
G72.9          ,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-
G80.0          ,8,-,2,-,1,1,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-
G80.1          ,3,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
G80.2          ,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G80.8          ,8,1,-,1,-,3,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-
G80.9          ,42,1,4,2,8,3,9,3,4,2,3,1,1,-,1,-,-,-,-,-,-
G83.8          ,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
G83.9          ,7,-,-,-,1,-,1,-,-,-,1,-,1,2,1,-,-,-,-,-,-
G90.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
G90.3          ,18,-,-,-,-,-,-,-,-,-,-,-,3,3,5,3,1,-,1,1,1
G90.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
G91.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
G91.2          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-
G91.3          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
G91.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
G91.9          ,6,-,-,-,-,2,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-
G92            ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
G93.0          ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
G93.4          ,3,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-
G93.5          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
G93.6          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
G93.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
G93.9          ,5,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-
G95.0          ,8,-,-,-,-,-,-,-,-,-,1,-,-,1,3,1,1,-,1,-,-
G95.1          ,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
G95.8          ,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-
G95.9          ,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-
G96.8          ,4,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,1,-,-,-
G96.9          ,6,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,-,2,-,-
G98            ,16,-,-,-,-,1,-,-,2,-,1,-,-,3,4,1,-,1,2,1,-
H66.0          ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
I01.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
I05.0          ,9,-,-,-,-,-,-,-,-,-,-,-,1,1,1,4,1,-,1,-,-
I05.1          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
I05.2          ,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,1,2,-
I05.8          ,15,-,-,-,-,-,-,-,-,-,-,1,1,1,1,6,1,2,2,-,-
I05.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
I06.0          ,18,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,4,7,-,-
I06.2          ,10,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,3,3,-,-
I06.8          ,8,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,3,1,-
I06.9          ,5,-,-,-,-,-,-,-,-,-,1,-,-,2,-,1,-,-,1,-,-
I07.1          ,21,-,-,-,-,-,-,-,-,-,-,-,1,-,3,1,5,3,5,2,1
I07.8          ,12,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,1,2,5,-
I07.9          ,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,3,-,-
I08.0          ,74,-,-,-,-,-,-,1,1,-,1,3,1,3,7,9,11,10,18,6,3
I08.1          ,46,-,-,-,-,-,-,-,-,-,-,-,1,5,3,6,9,10,8,3,1
I08.2          ,9,-,-,-,-,-,-,1,-,-,-,-,1,1,-,2,-,3,1,-,-
I08.3          ,44,-,-,-,-,-,-,-,-,-,1,-,1,-,4,6,7,7,13,4,1
I08.8          ,39,-,-,-,-,1,-,1,-,-,-,3,1,4,3,7,3,7,8,1,-
I08.9          ,50,-,-,-,-,-,-,-,-,-,-,-,2,2,6,4,5,14,13,2,2
I10            ,2788,-,-,-,-,-,-,-,1,19,46,74,109,199,276,247,242,422,576,413,164
I11.0          ,4485,-,-,-,-,-,-,4,9,19,51,86,151,296,372,387,447,761,972,702,228
I11.9          ,635,-,-,-,-,-,-,-,-,1,3,10,16,34,55,44,64,119,139,114,36
I12.0          ,440,-,-,-,-,1,-,1,1,1,1,2,10,24,30,46,58,84,89,74,18
I12.9          ,4,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,1,-
I13.0          ,128,-,-,-,-,-,-,-,1,-,1,2,1,3,7,12,16,25,30,22,8
I13.1          ,18,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,3,4,3,1,1
I13.2          ,79,-,-,-,-,-,-,-,-,-,1,-,1,3,4,3,12,20,23,12,-
I20.0          ,395,-,-,-,-,-,-,-,-,4,4,14,28,84,63,42,42,48,41,19,6
I20.1          ,5,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,-,-,1
I20.8          ,17,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,4,3,3,3,-
I20.9          ,271,-,-,-,-,-,-,-,-,1,1,6,10,73,57,29,14,25,34,16,5
I21.0          ,2026,-,-,-,-,-,2,25,37,42,63,75,136,227,304,271,252,255,207,100,30
I21.1          ,2578,-,-,-,-,-,-,5,10,31,60,86,188,315,373,388,277,331,322,148,44
I21.2          ,435,-,-,-,-,-,-,1,8,8,19,23,30,58,70,67,40,50,39,16,6
I21.3          ,1282,-,-,-,-,1,1,7,16,59,70,72,136,146,184,163,121,111,121,58,16
I21.4          ,1620,-,-,-,-,-,-,2,7,18,15,27,64,119,220,210,230,292,253,135,28
I21.9          ,4665,-,-,-,-,-,3,8,15,17,86,170,336,544,685,584,543,642,625,318,89
I22.0          ,4,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-
I22.1          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-
I22.8          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,-,-
I22.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
I24.1          ,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-
I24.8          ,77,-,-,-,-,-,-,-,2,1,4,2,4,16,11,9,10,6,6,6,-
I24.9          ,5467,-,-,-,-,-,1,-,-,9,13,71,150,381,580,586,731,930,1100,689,226
I25.0          ,12144,-,-,-,-,-,-,-,1,2,3,187,422,894,1264,1385,1512,2154,2476,1358,486
I25.1          ,6192,-,-,-,-,-,-,1,-,1,7,33,55,165,308,405,525,1162,1714,1317,499
I25.3          ,9,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,-,1,2,2,-
I25.4          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-
I25.5          ,1240,-,-,-,-,-,-,-,3,4,8,24,46,89,135,150,146,223,242,137,33
I25.6          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
I25.8          ,794,-,-,-,-,-,-,1,1,3,2,5,20,44,69,91,110,159,184,81,24
I25.9          ,6197,-,-,-,-,-,-,5,7,26,47,84,228,475,761,729,773,1033,1178,670,181
I26.0          ,772,-,-,-,-,2,2,6,15,11,35,36,50,70,99,95,81,107,109,42,12
I26.9          ,1155,-,-,-,-,2,5,5,10,18,33,48,69,109,168,135,135,167,146,79,26
I27.0          ,30,1,-,1,-,-,1,1,1,1,2,2,2,8,3,1,3,2,-,1,-
I27.1          ,9,-,-,-,-,1,-,-,2,-,-,1,1,2,-,-,1,-,1,-,-
I27.8          ,155,-,-,-,1,-,1,-,-,-,-,2,2,3,7,13,17,41,44,19,5
I27.9          ,799,-,-,-,-,-,-,2,5,7,3,15,20,82,124,135,125,132,100,42,7
I28.8          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-
I30.0          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
I30.1          ,5,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,1,-,-,1,-
I30.8          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
I30.9          ,7,-,-,-,-,-,-,-,1,-,-,-,-,1,2,2,-,1,-,-,-
I31.0          ,6,-,-,-,1,-,-,-,-,-,-,1,-,1,2,-,-,-,1,-,-
I31.1          ,8,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,4,-,-,-,-
I31.2          ,5,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,1,-,-,-,1
I31.3          ,14,-,-,-,-,-,-,-,1,-,-,-,2,1,3,1,2,2,1,-,1
I31.8          ,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,1,1,-
I31.9          ,4,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,1,-,-,-
I33.0          ,180,-,1,-,-,-,-,5,5,4,5,9,17,28,28,26,19,20,10,2,1
I33.9          ,109,-,-,-,-,-,-,2,1,7,2,4,11,10,16,25,9,11,7,3,1
I34.0          ,244,-,-,-,-,1,-,1,-,1,3,3,9,20,27,33,45,37,42,18,4
I34.1          ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-
I34.2          ,40,-,-,-,-,-,-,1,-,-,-,-,3,3,8,3,9,6,1,5,1
I34.8          ,14,-,-,-,-,-,-,-,-,1,1,-,1,1,3,1,1,2,2,1,-
I34.9          ,31,-,-,-,-,-,-,-,-,-,2,-,-,2,4,5,5,1,5,6,1
I35.0          ,850,-,-,-,1,-,2,1,4,3,8,10,12,37,80,80,111,166,209,105,21
I35.1          ,60,-,-,-,-,-,-,2,3,1,3,2,4,4,12,3,3,11,9,3,-
I35.2          ,144,-,-,-,-,-,-,-,1,-,4,2,5,3,17,18,25,24,30,12,3
I35.8          ,11,-,-,-,-,1,-,-,-,-,-,-,-,2,2,1,1,1,2,1,-
I35.9          ,49,-,-,-,-,-,-,-,2,-,-,-,1,4,4,2,9,6,7,12,2
I36.0          ,10,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,3,1,1
I36.1          ,50,-,-,-,-,-,-,-,-,-,-,-,1,7,5,3,9,8,14,3,-
I36.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
I36.8          ,6,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,2,1,-,-
I37.0          ,5,-,-,-,-,-,-,-,1,-,-,1,1,-,-,1,-,1,-,-,-
I37.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
I37.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
I37.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
I38            ,57,-,-,-,-,1,-,-,-,1,7,3,7,3,13,12,3,7,-,-,-
I40.0          ,19,1,-,-,-,-,-,1,3,2,-,1,1,2,2,3,-,-,2,1,-
I40.1          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
I40.8          ,3,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
I40.9          ,15,-,-,1,-,-,-,3,-,2,1,1,-,1,2,1,2,-,1,-,-
I42.0          ,1308,-,-,-,1,4,4,16,21,40,51,60,87,157,189,158,129,156,156,59,20
I42.1          ,39,-,-,1,1,1,3,3,2,6,4,3,1,2,1,3,3,1,3,1,-
I42.2          ,73,1,-,2,-,-,1,-,1,2,3,4,10,5,13,5,6,9,7,3,1
I42.5          ,12,-,-,-,-,-,1,-,-,-,-,-,3,1,2,1,1,2,1,-,-
I42.6          ,124,-,-,-,-,-,2,5,4,5,16,10,24,25,23,5,3,1,1,-,-
I42.7          ,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
I42.8          ,331,-,-,-,-,1,-,1,5,4,5,5,9,16,31,40,29,58,72,43,12
I42.9          ,435,-,-,-,-,1,-,3,3,3,14,20,26,33,49,50,34,78,65,47,9
I45.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
I45.9          ,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-
I46.1          ,99,-,-,-,-,1,-,3,9,30,21,10,13,3,6,1,1,-,1,-,-
I46.9          ,171,-,-,-,1,-,1,3,3,5,3,8,14,31,35,24,27,9,4,2,1
I49.8          ,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
I49.9          ,3,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
I50.0          ,12628,-,-,-,-,-,1,2,1,82,123,246,451,966,1295,1348,1331,2042,2481,1687,572
I50.1          ,4190,-,-,1,-,-,2,-,3,26,36,122,201,397,566,540,550,668,611,358,109
I50.9          ,21436,1,-,-,-,1,3,12,39,184,269,457,797,1475,1998,2303,2514,3291,4174,2955,963
I51.0          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
I51.3          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,1,-,-
I51.4          ,11,-,-,2,-,1,1,1,-,-,-,2,-,2,1,-,-,-,1,-,-
I51.5          ,1491,-,-,-,-,-,-,-,-,-,1,-,-,6,8,30,79,236,448,615,68
I51.8          ,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
I60.0          ,69,-,-,-,-,-,-,1,6,4,6,8,6,8,9,8,6,2,3,1,1
I60.1          ,131,-,-,-,1,-,4,2,6,5,11,13,15,19,18,13,6,10,8,-,-
I60.2          ,169,-,-,-,-,-,4,5,9,10,17,21,19,19,25,20,4,7,8,1,-
I60.3          ,29,-,-,-,-,-,-,1,-,1,5,1,6,1,4,3,-,4,2,1,-
I60.4          ,58,-,-,-,-,-,1,1,2,3,4,5,9,9,3,9,4,3,3,2,-
I60.5          ,20,-,-,-,-,-,-,-,1,1,3,2,2,4,2,1,1,3,-,-,-
I60.6          ,43,-,-,-,-,-,1,-,3,8,4,3,2,3,7,3,1,3,3,2,-
I60.7          ,58,-,-,-,-,-,-,1,1,3,1,3,6,11,12,3,2,7,6,1,1
I60.8          ,54,-,-,-,-,-,1,2,-,1,1,3,1,10,7,4,7,3,10,4,-
I60.9          ,354,1,-,-,-,1,1,5,12,17,16,30,35,56,40,42,28,25,26,16,3
I61.0          ,1196,-,-,1,-,1,-,4,10,21,32,48,65,109,115,168,142,202,189,72,17
I61.1          ,446,-,-,-,-,-,1,3,6,7,9,19,26,34,60,49,51,73,65,37,6
